?cls	?pred	?val	?synType
<https://spec.industrialontologies.org/ontology/construct/System>	<http://www.w3.org/2000/01/rdf-schema#label>	"system"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Organization>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ManufacturingProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturing process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Person>	<http://www.w3.org/2000/01/rdf-schema#label>	"person"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Agreement>	<http://www.w3.org/2000/01/rdf-schema#label>	"agreement"@en-us	
<https://spec.industrialontologies.org/ontology/construct/SellingBusinessProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"offering for sale business process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/PieceOfEquipment>	<http://www.w3.org/2000/01/rdf-schema#label>	"piece of equipment"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialComponentRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"material component role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ProductProductionProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"product production process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Event>	<http://www.w3.org/2000/01/rdf-schema#label>	"event"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Customer>	<http://www.w3.org/2000/01/rdf-schema#label>	"customer"@en-us	
<https://spec.industrialontologies.org/ontology/construct/InformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialProduct>	<http://www.w3.org/2000/01/rdf-schema#label>	"material product"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Algorithm>	<http://www.w3.org/2000/01/rdf-schema#label>	"algorithm"@en-us	
<https://spec.industrialontologies.org/ontology/construct/DesignSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"design specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/GainOfRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"gain of role"@en-us	
